station_name,lat,lon,scene_id,date,cloud_cover,ndmi_mean,datetime,date_only,year
Ada,34.60285,-96.68436,LC09_L2SP_027036_20240126_02_T2,2024-01-26 17:02:03.110563+00:00,99.99,,2024-01-26 17:02:03.110563+00:00,2024-01-26,2024
Ada,34.60266,-96.68996,LC08_L2SP_027036_20240203_02_T2,2024-02-03 17:01:53.765821+00:00,94.74,,2024-02-03 17:01:53.765821+00:00,2024-02-03,2024
Ada,34.60264,-96.711,LC09_L2SP_027036_20240211_02_T2,2024-02-11 17:02:06.118777+00:00,15.53,,2024-02-11 17:02:06.118777+00:00,2024-02-11,2024
Ada,34.60244,-96.70755,LC08_L2SP_027036_20240219_02_T1,2024-02-19 17:01:52.558340+00:00,0.03,-0.1583129034490934,2024-02-19 17:01:52.558340+00:00,2024-02-19,2024
Ada,34.60271,-96.69103,LC09_L2SP_027036_20240227_02_T2,2024-02-27 17:01:56.698733+00:00,100.0,,2024-02-27 17:01:56.698733+00:00,2024-02-27,2024
Ada,34.60245,-96.68636,LC08_L2SP_027036_20240306_02_T1,2024-03-06 17:01:40.596368+00:00,1.47,-0.1447332876944674,2024-03-06 17:01:40.596368+00:00,2024-03-06,2024
Ada,34.60299,-96.72138,LC09_L2SP_027036_20240314_02_T1,2024-03-14 17:01:58.085204+00:00,77.93,,2024-03-14 17:01:58.085204+00:00,2024-03-14,2024
Ada,34.60306,-96.68408,LC08_L2SP_027036_20240322_02_T2,2024-03-22 17:01:31.867519+00:00,94.31,,2024-03-22 17:01:31.867519+00:00,2024-03-22,2024
Ada,34.60272,-96.7145,LC09_L2SP_027036_20240330_02_T1,2024-03-30 17:01:49.284907+00:00,72.3,,2024-03-30 17:01:49.284907+00:00,2024-03-30,2024
Ada,34.60263,-96.69361,LC08_L2SP_027036_20240407_02_T1,2024-04-07 17:01:24.766063+00:00,7.89,-0.0266109112464199,2024-04-07 17:01:24.766063+00:00,2024-04-07,2024
